algorithm,n,height,time
FFDH,1380,371.99,0.0015248
NFDH,1380,474.668,0.000127
SF,1380,411.533,0.0011118
FFDH,1390,386.509,0.0015207
NFDH,1390,484.731,0.00013
SF,1390,423.667,0.0012059
FFDH,1400,382.236,0.0015655
NFDH,1400,482.03,0.0001349
SF,1400,416.72,0.0012212
FFDH,1410,380.501,0.0014944
NFDH,1410,472.781,0.0001169
SF,1410,420.296,0.0011584
FFDH,1420,366.162,0.0014872
NFDH,1420,451.158,0.0001297
SF,1420,401.961,0.0012084
FFDH,1430,366.495,0.0015042
NFDH,1430,460.659,0.0001185
SF,1430,400.353,0.0011476
FFDH,1440,377.247,0.0015918
NFDH,1440,475.134,0.0001228
SF,1440,414.029,0.001194
FFDH,1450,382.534,0.0015762
NFDH,1450,478.086,0.0001359
SF,1450,419.834,0.0012138
FFDH,1460,384.749,0.0016451
NFDH,1460,482.685,0.0001395
SF,1460,425.745,0.0013406
FFDH,1470,384.736,0.0016064
NFDH,1470,489.608,0.000129
SF,1470,419.151,0.0012138
FFDH,1480,377.362,0.0016423
NFDH,1480,471.254,0.000137
SF,1480,417.919,0.0012332
FFDH,1490,387.676,0.001658
NFDH,1490,487.867,0.0001384
SF,1490,424.216,0.001249
FFDH,1500,405.424,0.0017237
NFDH,1500,512.735,0.0001347
SF,1500,440.437,0.0013097
FFDH,1510,399.183,0.0017396
NFDH,1510,498.751,0.0001395
SF,1510,440.559,0.0013173
FFDH,1520,423.087,0.001715
NFDH,1520,529.975,0.0001357
SF,1520,465.333,0.0014131
FFDH,1530,411.198,0.0017438
NFDH,1530,514.53,0.0001347
SF,1530,450.591,0.0013121
FFDH,1540,411.153,0.0017343
NFDH,1540,519.922,0.0001467
SF,1540,454.176,0.0013439
FFDH,1550,415.108,0.0017659
NFDH,1550,521.353,0.0001412
SF,1550,456.967,0.0013776
FFDH,1560,405.853,0.0017958
NFDH,1560,511.249,0.0001399
SF,1560,445.394,0.0013451
FFDH,1570,424.14,0.0018759
NFDH,1570,536.527,0.0001381
SF,1570,469.607,0.0013992
FFDH,1580,412.773,0.0017986
NFDH,1580,518.27,0.0001292
SF,1580,452.658,0.0013646
FFDH,1590,426.55,0.001882
NFDH,1590,531.001,0.0001449
SF,1590,466.608,0.0014389
FFDH,1600,431.215,0.0018581
NFDH,1600,554.194,0.0001285
SF,1600,477.743,0.0014021
FFDH,1610,439.986,0.0018969
NFDH,1610,561.002,0.0001291
SF,1610,486.887,0.0015444
FFDH,1620,433.919,0.0018832
NFDH,1620,545.962,0.0001465
SF,1620,476.609,0.0014329
FFDH,1630,436.325,0.0019802
NFDH,1630,550.995,0.0001595
SF,1630,480.31,0.0014998
FFDH,1640,419.127,0.0019851
NFDH,1640,532.413,0.0001339
SF,1640,471.881,0.0014666
FFDH,1650,426.619,0.0019953
NFDH,1650,542.293,0.0001475
SF,1650,471.906,0.001534
FFDH,1660,446.442,0.0020551
NFDH,1660,563.391,0.000152
SF,1660,496.438,0.0015178
FFDH,1670,434.464,0.0019949
NFDH,1670,550.109,0.0001348
SF,1670,481.741,0.0016599
FFDH,1680,442.698,0.0021009
NFDH,1680,558.931,0.0001548
SF,1680,490.06,0.0015153
FFDH,1690,445.249,0.0020194
NFDH,1690,558.064,0.0001322
SF,1690,492.348,0.0017751
FFDH,1700,452.024,0.0020513
NFDH,1700,560.053,0.0001411
SF,1700,500.862,0.0015368
FFDH,1710,445.793,0.0021386
NFDH,1710,566.408,0.0001486
SF,1710,496.933,0.0016582
FFDH,1720,452.636,0.0021718
NFDH,1720,585.769,0.0001441
SF,1720,497.641,0.0015866
FFDH,1730,477.545,0.0021921
NFDH,1730,604.185,0.0001389
SF,1730,528.154,0.0016675
FFDH,1740,459.63,0.0021694
NFDH,1740,582.131,0.0001868
SF,1740,505.973,0.001591
FFDH,1750,468.992,0.0022065
NFDH,1750,589.374,0.0001541
SF,1750,516.202,0.0016569
FFDH,1760,479.553,0.0022511
NFDH,1760,598.4,0.0001516
SF,1760,536.642,0.0016254
FFDH,1770,476.14,0.002497
NFDH,1770,596.416,0.0001433
SF,1770,521.179,0.0017033
FFDH,1780,483.472,0.0023363
NFDH,1780,613.137,0.0001378
SF,1780,540.319,0.001748
FFDH,1790,482.52,0.0022986
NFDH,1790,616.509,0.0001493
SF,1790,537.308,0.0021545
FFDH,1800,465.552,0.0024175
NFDH,1800,592.71,0.0001556
SF,1800,518.138,0.001634
FFDH,1810,488.231,0.0023652
NFDH,1810,614.531,0.0001561
SF,1810,540.08,0.0018021
FFDH,1820,487.235,0.0024444
NFDH,1820,610.533,0.0001434
SF,1820,541.687,0.0018074
FFDH,1830,480.102,0.0025675
NFDH,1830,606.464,0.0001549
SF,1830,526.663,0.0019164
FFDH,1840,497.937,0.0024186
NFDH,1840,625.802,0.000149
SF,1840,545.686,0.0018179
FFDH,1850,481.417,0.0024571
NFDH,1850,612.186,0.0001622
SF,1850,530.48,0.0017995
FFDH,1860,487.334,0.0025144
NFDH,1860,617.447,0.0001537
SF,1860,544.381,0.0018717
FFDH,1870,487.847,0.0026758
NFDH,1870,619.682,0.0001475
SF,1870,525.232,0.0017699
FFDH,1880,497.617,0.0025206
NFDH,1880,620.825,0.0001616
SF,1880,544.144,0.001836
FFDH,1890,499.851,0.0025603
NFDH,1890,634.808,0.0001582
SF,1890,552.911,0.0018801
FFDH,1900,511.106,0.0027006
NFDH,1900,647.106,0.0001547
SF,1900,567.44,0.0019275
FFDH,1910,504.375,0.0025488
NFDH,1910,639.681,0.0001467
SF,1910,553.396,0.0018201
FFDH,1920,493.116,0.0025458
NFDH,1920,616.272,0.0001577
SF,1920,543.826,0.0018504
FFDH,1930,490.455,0.0026664
NFDH,1930,613.093,0.0001734
SF,1930,539.136,0.0019564
FFDH,1940,511.559,0.0026266
NFDH,1940,641.823,0.0001553
SF,1940,561.565,0.0020112
FFDH,1950,488.333,0.0026789
NFDH,1950,614.488,0.000166
SF,1950,542.267,0.0019083
FFDH,1960,514.207,0.002728
NFDH,1960,645.19,0.0001509
SF,1960,568.457,0.0021605
FFDH,1970,532.429,0.0027567
NFDH,1970,669.261,0.0001503
SF,1970,589.605,0.003304
FFDH,1980,507.913,0.0050669
NFDH,1980,650.899,0.0001506
SF,1980,565.358,0.0021025
FFDH,1990,513.354,0.0028047
NFDH,1990,647.716,0.0001531
SF,1990,568.407,0.0021791
FFDH,2000,514.418,0.0028891
NFDH,2000,649.39,0.0001733
SF,2000,562.97,0.0019753
FFDH,2010,534.651,0.0029567
NFDH,2010,676.552,0.0001755
SF,2010,593.301,0.0021454
FFDH,2020,523.227,0.0029131
NFDH,2020,661.871,0.0001722
SF,2020,579.415,0.0023279
FFDH,2030,533.533,0.0030721
NFDH,2030,667.333,0.0001579
SF,2030,589.397,0.0022218
FFDH,2040,554.57,0.0031031
NFDH,2040,710.203,0.0001663
SF,2040,616.713,0.002121
FFDH,2050,538.64,0.0029064
NFDH,2050,682.858,0.000179
SF,2050,592.498,0.0021094
FFDH,2060,512.775,0.0029184
NFDH,2060,650.904,0.0001776
SF,2060,571.22,0.0021422
FFDH,2070,534.129,0.003007
NFDH,2070,677.98,0.0001737
SF,2070,587.81,0.0020888
FFDH,2080,549.458,0.0029937
NFDH,2080,691.94,0.0001769
SF,2080,615.502,0.0022317
FFDH,2090,569.768,0.0031993
NFDH,2090,721.229,0.0001706
SF,2090,636.395,0.0022633
FFDH,2100,553.173,0.0031687
NFDH,2100,709.888,0.0001846
SF,2100,618.288,0.002244
FFDH,2110,545.523,0.0031533
NFDH,2110,692.726,0.0001767
SF,2110,611.312,0.002264
FFDH,2120,528.537,0.0030941
NFDH,2120,672.625,0.0001719
SF,2120,582.007,0.0024374
FFDH,2130,545.847,0.0031433
NFDH,2130,692.358,0.0001899
SF,2130,605.477,0.0022314
FFDH,2140,558.32,0.0032419
NFDH,2140,707.284,0.0001715
SF,2140,621.897,0.0023157
FFDH,2150,552.689,0.0033387
NFDH,2150,697.182,0.0001917
SF,2150,624.287,0.0022381
FFDH,2160,559.59,0.0032725
NFDH,2160,713.379,0.0002088
